SlNo,BookTitle,BookAuthor,BookOriginalPrice,BookNewPrice
1;"বেলা ফুরাবার আগে";"আরিফ আজাদ";"TK. 287";"TK. 201"
2;"কমিউনিকেশন হ্যাকস";"আয়মান সাদিক";"TK. 270";"TK. 203"
3;"ফ্রিল্যান্সিং : ইন্টারনেট থেকে আয়";"ফ্রিল্যান্সার নাসিম  ";"TK. 250";"TK. 188"
4;"লোকে কী বলবে?";"আয়মান সাদিক";"TK. 255";"TK. 191"
5;"প্রোডাক্টিভ মুসলিম";"মোহাম্মদ ফারিস ";"TK. 365";"TK. 256"
6;"অর্ধবৃত্ত";"সাদাত হোসাইন ";"TK. 590";"TK. 443"
7;"ভাইরে আপুরে-২!!! (সিলেবাসের  বাইরে )";"শাব্বির আহসান";"TK. 290";"TK. 218"
8;"উড়ছে হাইজেনবার্গ";"শামীর মোন্তাজিদ";"TK. 335";"TK. 251"
9;"বিহাইন্ড দ্য সিন ";"সালমান মুক্তাদির ";"TK. 280";"TK. 210"
10;"নোমান";"অন্তিক মাহমুদ";"TK. 240";"TK. 180"
11;"সুখী বিবাহিত ব্যাচেলর   ";"মৌরি মরিয়ম";"TK. 800";"TK. 600"
12;"হৃদমোহিনী";"রেশমী রফিক";"TK. 518";"TK. 389"
13;"সন্দেহ ";"সাদিয়া খান সুবাসিনী";"TK. 400";"TK. 300"
14;"মেঘেদের দিন";"সাদাত হোসাইন ";"TK. 225";"TK. 169"
15;"চল";"অন্তিক মাহমুদ";"TK. 240";"TK. 180"
16;"মরণোত্তম";"সাদাত হোসাইন ";"TK. 225";"TK. 169"
17;"কোডিং ইন্টারভিউ : প্রস্তুতি, সমস্যা ও সমাধান";"তামিম শাহরিয়ার সুবিন";"TK. 280";"TK. 210"
18;"মোবাইল অ্যাপে ক্যারিয়ার";"জুবায়ের হোসেন";"TK. 200";"TK. 150"
19;"ইউটিউব এভরিথিং";"মোস্তাফিজুর রহমান";"TK. 270";"TK. 203"
20;"মেঘডুবি";"কিঙ্কর আহ্‌সান";"TK. 470";"TK. 353"
21;"গল্পগুলো অন্যরকম";"আরিফ আজাদ";"TK. 315";"TK. 236"
22;"উইজার্ড রিবর্ন";"হাসিবুল ইসলাম ফাহাদ";"TK. 330";"TK. 231"
23;"প্রধানমন্ত্রী প্রতিদিন চা খেতে আসেন আমাদের বাসায়";"সুমন্ত আসলাম";"TK. 400";"TK. 300"
24;"সিক্রেটস অব জায়োনিজম : বিশ্বব্যাপী জায়োনিস্ট ষড়যন্ত্রের ভেতর-বাহির";"হেনরি ফোর্ড";"TK. 400";"TK. 280"
25;"ব্রেইন বুস্টার";"সাদমান সাদিক";"TK. 335";"TK. 251"
26;"গ্লিনা";"মুহম্মদ জাফর ইকবাল";"TK. 240";"TK. 180"
27;"দেহবণ্টনবিষয়ক দ্বিপক্ষীয় চুক্তি স্বাক্ষর";"মারজুক রাসেল";"TK. 200";"TK. 150"
28;"তোমাকে দেখার অসুখ";"সাদাত হোসাইন ";"TK. 180";"TK. 135"
29;"আমার সাইন্টিস মামা";"মুহম্মদ জাফর ইকবাল";"TK. 280";"TK. 210"
30;"প্রজেক্ট আকাশলীন";"মুহম্মদ জাফর ইকবাল";"TK. 380";"TK. 285"
31;"স্মার্ট প্যারেন্টিং উইথ মুহাম্মাদ (সা.)";"মাসুদ শরীফ";"TK. 200";"TK. 140"
32;"অ পদার্থবিজ্ঞান";"রাতুল খান";"TK. 267";"TK. 200"
33;"আমার দেখা নয়াচীন";"বঙ্গবন্ধু শেখ মুজিবুর রহমান";"TK. 400";"TK. 400"
34;"ইহুদী জাতির ইতিহাস";"আব্দুল্লাহ ইবনে মাহমুদ ";"TK. 600";"TK. 450"
35;"আমি একজন সেলসম্যান!";"তানভীর শাহরিয়ার রিমন";"TK. 200";"TK. 150"
36;"সমুদ্র থেকে সমতলে";"সোলায়মান সুখন";"TK. 200";"TK. 150"
